slugseason,nameteam,nameplayer,value
2020-21,Miami Heat,Andre Iguodala,15000000
2021-22,Miami Heat,Andre Iguodala,15000000
2020-21,Miami Heat,Bam Adebayo,5115492
2021-22,Miami Heat,Bam Adebayo,28103500
2022-23,Miami Heat,Bam Adebayo,30351780
2023-24,Miami Heat,Bam Adebayo,32600060
2024-25,Miami Heat,Bam Adebayo,34848340
2020-21,Miami Heat,Duncan Robinson,1663861
2021-22,Miami Heat,Duncan Robinson,4736102
2021-22,Miami Heat,Gabe Vincent,1669178
2020-21,Miami Heat,Goran Dragic,18000000
2021-22,Miami Heat,Goran Dragic,19440000
2020-21,Miami Heat,Jimmy Butler,34379100
2021-22,Miami Heat,Jimmy Butler,36016200
2022-23,Miami Heat,Jimmy Butler,37653300
2020-21,Miami Heat,Kendrick Nunn,1663861
2021-22,Miami Heat,Kendrick Nunn,4736102
2020-21,Miami Heat,KZ Okpala,1517981
2021-22,Miami Heat,KZ Okpala,1782621
2022-23,Miami Heat,KZ Okpala,2228276
2020-21,Miami Heat,Nemanja Bjelica,7150000
2020-21,Miami Heat,Precious Achiuwa,2582160
2021-22,Miami Heat,Precious Achiuwa,2711280
2022-23,Miami Heat,Precious Achiuwa,2840160
2023-24,Miami Heat,Precious Achiuwa,4379527
2024-25,Miami Heat,Precious Achiuwa,6275862
2020-21,Miami Heat,Ryan Anderson,5214583
2021-22,Miami Heat,Ryan Anderson,5214583
2020-21,Miami Heat,Trevor Ariza,12800000
2020-21,Miami Heat,Tyler Herro,3822240
2021-22,Miami Heat,Tyler Herro,4004280
2022-23,Miami Heat,Tyler Herro,5722116
2023-24,Miami Heat,Tyler Herro,7913686
2020-21,Miami Heat,Udonis Haslem,1620564
2020-21,Miami Heat,Victor Oladipo,21000000
2020-21,Milwaukee Bucks,Bobby Portis,3623000
2021-22,Milwaukee Bucks,Bobby Portis,3804150
2020-21,Milwaukee Bucks,Brook Lopez,12697675
2021-22,Milwaukee Bucks,Brook Lopez,13302325
2022-23,Milwaukee Bucks,Brook Lopez,13906976
2020-21,Milwaukee Bucks,Bryn Forbes,2337145
2021-22,Milwaukee Bucks,Bryn Forbes,2454002
2020-21,Milwaukee Bucks,Donte DiVencenzo,3044160
2021-22,Milwaukee Bucks,Donte DiVencenzo,4675830
2022-23,Milwaukee Bucks,Donte DiVencenzo,6602272
2020-21,Milwaukee Bucks,Giannis Antetokounmpo,27528088
2021-22,Milwaukee Bucks,Giannis Antetokounmpo,39344900
2022-23,Milwaukee Bucks,Giannis Antetokounmpo,42492492
2023-24,Milwaukee Bucks,Giannis Antetokounmpo,45640676
2024-25,Milwaukee Bucks,Giannis Antetokounmpo,48787676
2020-21,Milwaukee Bucks,Jeff Teague,510589
2020-21,Milwaukee Bucks,Jon Leuer,3169348
2021-22,Milwaukee Bucks,Jon Leuer,3169347
2020-21,Milwaukee Bucks,Jordan Nwora,898310
2021-22,Milwaukee Bucks,Jordan Nwora,1517981
2022-23,Milwaukee Bucks,Jordan Nwora,1919247
2020-21,Milwaukee Bucks,Jrue Holiday,25876111
2021-22,Milwaukee Bucks,Jrue Holiday,31051333
2022-23,Milwaukee Bucks,Jrue Holiday,33535440
2023-24,Milwaukee Bucks,Jrue Holiday,36019547
2024-25,Milwaukee Bucks,Jrue Holiday,38503654
2020-21,Milwaukee Bucks,Khris Middleton,33051724
2021-22,Milwaukee Bucks,Khris Middleton,35500000
2022-23,Milwaukee Bucks,Khris Middleton,37948276
2023-24,Milwaukee Bucks,Khris Middleton,40396552
2020-21,Milwaukee Bucks,Larry Sanders,1865546
2021-22,Milwaukee Bucks,Larry Sanders,1865547
2020-21,Milwaukee Bucks,Pat Connaughton,4938273
2021-22,Milwaukee Bucks,Pat Connaughton,5333334
2022-23,Milwaukee Bucks,Pat Connaughton,5728393
2020-21,Milwaukee Bucks,PJ Tucker,7969537
2020-21,Milwaukee Bucks,Rodions Kurucs,1780152
2021-22,Milwaukee Bucks,Rodions Kurucs,1861068
2020-21,Milwaukee Bucks,Sam Merrill,898310
2021-22,Milwaukee Bucks,Sam Merrill,1517981
2022-23,Milwaukee Bucks,Sam Merrill,1919247
2020-21,Milwaukee Bucks,Thanasis Antetokounmpo,1701593
2021-22,Milwaukee Bucks,Thanasis Antetokounmpo,2126991
2020-21,Minnesota Timberwolves,Anthony Edwards,9757440
2021-22,Minnesota Timberwolves,Anthony Edwards,10245480
2022-23,Minnesota Timberwolves,Anthony Edwards,10733400
2023-24,Minnesota Timberwolves,Anthony Edwards,13534817
2024-25,Minnesota Timberwolves,Anthony Edwards,17595262
2020-21,Minnesota Timberwolves,Cole Aldrich,685340
2020-21,Minnesota Timberwolves,D'Angelo Russell,28649250
2021-22,Minnesota Timberwolves,D'Angelo Russell,30013500
2022-23,Minnesota Timberwolves,D'Angelo Russell,31377750
2020-21,Minnesota Timberwolves,Ed Davis,5005350
2020-21,Minnesota Timberwolves,Jaden McDaniels,1964760
2021-22,Minnesota Timberwolves,Jaden McDaniels,2063280
2022-23,Minnesota Timberwolves,Jaden McDaniels,2161440
2023-24,Minnesota Timberwolves,Jaden McDaniels,3901399
2024-25,Minnesota Timberwolves,Jaden McDaniels,5813085
2020-21,Minnesota Timberwolves,Jake Layman,3761085
2021-22,Minnesota Timberwolves,Jake Layman,3940184
2020-21,Minnesota Timberwolves,Jarred Vanderbilt,1663861
2021-22,Minnesota Timberwolves,Jarred Vanderbilt,2079826
2020-21,Minnesota Timberwolves,Jarrett Culver,6104280
2021-22,Minnesota Timberwolves,Jarrett Culver,6395160
2022-23,Minnesota Timberwolves,Jarrett Culver,8109063
2023-24,Minnesota Timberwolves,Jarrett Culver,10817490
2020-21,Minnesota Timberwolves,Jaylen Nowell,1517981
2021-22,Minnesota Timberwolves,Jaylen Nowell,1782621
2022-23,Minnesota Timberwolves,Jaylen Nowell,1930681
2021-22,Minnesota Timberwolves,Jordan McLaughlin,1669178
2020-21,Minnesota Timberwolves,Josh Okogie,2651040
2021-22,Minnesota Timberwolves,Josh Okogie,4087904
2022-23,Minnesota Timberwolves,Josh Okogie,5857966
2020-21,Minnesota Timberwolves,Juancho Hernangomez,6493000
2021-22,Minnesota Timberwolves,Juancho Hernangomez,7012440
2022-23,Minnesota Timberwolves,Juancho Hernangomez,7531880
2020-21,Minnesota Timberwolves,KarlAnthony Towns,29467800
2021-22,Minnesota Timberwolves,KarlAnthony Towns,31650600
2022-23,Minnesota Timberwolves,KarlAnthony Towns,33833400
2023-24,Minnesota Timberwolves,KarlAnthony Towns,36016200
2020-21,Minnesota Timberwolves,Malik Beasley,13425895
2021-22,Minnesota Timberwolves,Malik Beasley,14491964
2022-23,Minnesota Timberwolves,Malik Beasley,15558035
2023-24,Minnesota Timberwolves,Malik Beasley,16524106
2020-21,Minnesota Timberwolves,Naz Reid,1517981
2021-22,Minnesota Timberwolves,Naz Reid,1782621
2022-23,Minnesota Timberwolves,Naz Reid,1930681
2020-21,Minnesota Timberwolves,Ricky Rubio,17000000
2021-22,Minnesota Timberwolves,Ricky Rubio,17800000
2020-21,New Orleans Pelicans,Brandon Ingram,27285000
2021-22,New Orleans Pelicans,Brandon Ingram,29467800
2022-23,New Orleans Pelicans,Brandon Ingram,31650600
2023-24,New Orleans Pelicans,Brandon Ingram,33833400
2024-25,New Orleans Pelicans,Brandon Ingram,36016200
2020-21,New Orleans Pelicans,Eric Bledsoe,16875000
2021-22,New Orleans Pelicans,Eric Bledsoe,18125000
2022-23,New Orleans Pelicans,Eric Bledsoe,19375000
2020-21,New Orleans Pelicans,Isaiah Thomas,110998
2020-21,New Orleans Pelicans,James Johnson,16047100
2020-21,New Orleans Pelicans,Jaxson Hayes,5105160
2021-22,New Orleans Pelicans,Jaxson Hayes,5348280
2022-23,New Orleans Pelicans,Jaxson Hayes,6803012
2023-24,New Orleans Pelicans,Jaxson Hayes,9170460
2020-21,New Orleans Pelicans,Josh Hart,3491159
2021-22,New Orleans Pelicans,Josh Hart,5236739
2020-21,New Orleans Pelicans,Kira Lewis Jr,3640200
2021-22,New Orleans Pelicans,Kira Lewis Jr,3822240
2022-23,New Orleans Pelicans,Kira Lewis Jr,4004280
2023-24,New Orleans Pelicans,Kira Lewis Jr,5722116
2024-25,New Orleans Pelicans,Kira Lewis Jr,7913686
2020-21,New Orleans Pelicans,Lonzo Ball,11003782
2021-22,New Orleans Pelicans,Lonzo Ball,14359936
2020-21,New Orleans Pelicans,Nickeil AlexanderWalker,3113160
2021-22,New Orleans Pelicans,Nickeil AlexanderWalker,3261480
2022-23,New Orleans Pelicans,Nickeil AlexanderWalker,5009633
2023-24,New Orleans Pelicans,Nickeil AlexanderWalker,7073602
2020-21,New Orleans Pelicans,Sindarius Thornwell,721484
2020-21,New Orleans Pelicans,Sindarius Thornwell  E,110998
2020-21,New Orleans Pelicans,Steven Adams,29592695
2021-22,New Orleans Pelicans,Steven Adams,17073171
2022-23,New Orleans Pelicans,Steven Adams,17926829
2020-21,New Orleans Pelicans,Wenyen Gabriel,1620564
2021-22,New Orleans Pelicans,Wenyen Gabriel,1762796
2020-21,New Orleans Pelicans,Wesley Iwundu,1678854
2021-22,New Orleans Pelicans,Wesley Iwundu,1824003
2020-21,New Orleans Pelicans,Willy Hernangomez,1620564
2020-21,New Orleans Pelicans,Zion Williamson,10245480
2021-22,New Orleans Pelicans,Zion Williamson,10733400
2022-23,New Orleans Pelicans,Zion Williamson,13534817
2023-24,New Orleans Pelicans,Zion Williamson,17595262
2020-21,New York Knicks,Alec Burks,6000000
2020-21,New York Knicks,Andrew White,25000
2020-21,New York Knicks,Derrick Rose,7682926
2020-21,New York Knicks,Elfrid Payton,4767000
2020-21,New York Knicks,Frank Ntilikina,6176578
2021-22,New York Knicks,Frank Ntilikina,8326027
2020-21,New York Knicks,Immanuel Quickley,2105520
2021-22,New York Knicks,Immanuel Quickley,2210640
2022-23,New York Knicks,Immanuel Quickley,2316240
2023-24,New York Knicks,Immanuel Quickley,4171548
2024-25,New York Knicks,Immanuel Quickley,6128004
2020-21,New York Knicks,Jacob Evans,2017320
2021-22,New York Knicks,Jared Harper,1669178
2020-21,New York Knicks,Joakim Noah,6431667
2021-22,New York Knicks,Joakim Noah,6431667
2020-21,New York Knicks,John Henson,110998
2020-21,New York Knicks,Julius Randle,18900000
2021-22,New York Knicks,Julius Randle,19800000
2020-21,New York Knicks,Kevin Knox,4588680
2021-22,New York Knicks,Kevin Knox,5845978
2022-23,New York Knicks,Kevin Knox,7921300
2020-21,New York Knicks,Mitchell Robinson,1663861
2021-22,New York Knicks,Mitchell Robinson,1802057
2020-21,New York Knicks,Nerlens Noel,5000000
2020-21,New York Knicks,Norvel Pelle,99020
2020-21,New York Knicks,Obi Toppin,4862040
2021-22,New York Knicks,Obi Toppin,5105160
2022-23,New York Knicks,Obi Toppin,5348280
2023-24,New York Knicks,Obi Toppin,6803012
2024-25,New York Knicks,Obi Toppin,9170460
2020-21,New York Knicks,Omari Spellman,1988280
2020-21,New York Knicks,Reggie Bullock,4200000
2020-21,New York Knicks,RJ Barrett,8231760
2021-22,New York Knicks,RJ Barrett,8623920
2022-23,New York Knicks,RJ Barrett,10900635
2023-24,New York Knicks,RJ Barrett,14301633
2020-21,New York Knicks,Taj Gibson,1442968
2020-21,New York Knicks,Terrance Ferguson,3944013
2020-21,New York Knicks,Tyler Hall,25000
2020-21,New York Knicks,Vincent Poirier,2619207
2020-21,New York Knicks,Wayne Ellington,1000000
2020-21,Oklahoma City Thunder,Admiral Schofield,1517981
2021-22,Oklahoma City Thunder,Admiral Schofield,300000
2020-21,Oklahoma City Thunder,Al Horford,27500000
2021-22,Oklahoma City Thunder,Al Horford,27000000
2022-23,Oklahoma City Thunder,Al Horford,26500000
2020-21,Oklahoma City Thunder,Aleksej Pokuesvski,2964840
2021-22,Oklahoma City Thunder,Aleksej Pokuesvski,3113160
2022-23,Oklahoma City Thunder,Aleksej Pokuesvski,3261480
2023-24,Oklahoma City Thunder,Aleksej Pokuesvski,5009633
2024-25,Oklahoma City Thunder,Aleksej Pokuesvski,7073602
2020-21,Oklahoma City Thunder,Austin Rivers,3500000
2020-21,Oklahoma City Thunder,Darius Bazley,2399160
2021-22,Oklahoma City Thunder,Darius Bazley,2513040
2022-23,Oklahoma City Thunder,Darius Bazley,4264629
2023-24,Oklahoma City Thunder,Darius Bazley,6205035
2020-21,Oklahoma City Thunder,Darius Miller,7000000
2020-21,Oklahoma City Thunder,Frank Jackson,250000
2020-21,Oklahoma City Thunder,Isaiah Roby,1517981
2021-22,Oklahoma City Thunder,Isaiah Roby,1782621
2022-23,Oklahoma City Thunder,Isaiah Roby,1930681
2020-21,Oklahoma City Thunder,Josh Gray,1620564
2020-21,Oklahoma City Thunder,Justin Jackson,5029650
2020-21,Oklahoma City Thunder,Justin Robinson,99020
2020-21,Oklahoma City Thunder,Kenrich Williams,2000000
2021-22,Oklahoma City Thunder,Kenrich Williams,2000000
2022-23,Oklahoma City Thunder,Kenrich Williams,2000000
2020-21,Oklahoma City Thunder,Kyle Singler,999200
2021-22,Oklahoma City Thunder,Kyle Singler,999200
2022-23,Oklahoma City Thunder,Kyle Singler,999200
2020-21,Oklahoma City Thunder,Luguentz Dort,1517981
2021-22,Oklahoma City Thunder,Luguentz Dort,1782621
2022-23,Oklahoma City Thunder,Luguentz Dort,1930681
2020-21,Oklahoma City Thunder,Meyers Leonard,9400000
2020-21,Oklahoma City Thunder,Mike Muscala,2283034
2020-21,Oklahoma City Thunder,Moses Brown,1250000
2021-22,Oklahoma City Thunder,Moses Brown,1701593
2022-23,Oklahoma City Thunder,Moses Brown,1846738
2023-24,Oklahoma City Thunder,Moses Brown,1997718
2020-21,Oklahoma City Thunder,Patrick Patterson,737067
2021-22,Oklahoma City Thunder,Patrick Patterson,737066
2020-21,Oklahoma City Thunder,Shai GilgeousAlexander,4141320
2021-22,Oklahoma City Thunder,Shai GilgeousAlexander,5495532
2022-23,Oklahoma City Thunder,Shai GilgeousAlexander,7523383
2020-21,Oklahoma City Thunder,Svi Mykhailiuk,1663861
2021-22,Oklahoma City Thunder,Svi Mykhailiuk,2079826
2020-21,Oklahoma City Thunder,Theo Maledon,2000000
2021-22,Oklahoma City Thunder,Theo Maledon,2000000
2022-23,Oklahoma City Thunder,Theo Maledon,1900000
2023-24,Oklahoma City Thunder,Theo Maledon,1930681
2020-21,Oklahoma City Thunder,TJ Leaf,4326825
2020-21,Oklahoma City Thunder,Tony Bradley,3542060
2021-22,Oklahoma City Thunder,Tony Bradley,5277669
2020-21,Oklahoma City Thunder,Ty Jerome,2303040
2021-22,Oklahoma City Thunder,Ty Jerome,2412840
2022-23,Oklahoma City Thunder,Ty Jerome,4220057
2023-24,Oklahoma City Thunder,Ty Jerome,6169723
2020-21,Oklahoma City Thunder,Zylan Cheatham,1445697
2021-22,Orlando Magic,Chasson Randle,1789256
2020-21,Orlando Magic,Chuma Okeke,3121080
2021-22,Orlando Magic,Chuma Okeke,3277080
2022-23,Orlando Magic,Chuma Okeke,3433320
2023-24,Orlando Magic,Chuma Okeke,5266713
2024-25,Orlando Magic,Chuma Okeke,7399732
2020-21,Orlando Magic,Cole Anthony,3285120
2021-22,Orlando Magic,Cole Anthony,3449400
2022-23,Orlando Magic,Cole Anthony,3613680
2023-24,Orlando Magic,Cole Anthony,5539771
2024-25,Orlando Magic,Cole Anthony,7744600
2020-21,Orlando Magic,Devin Cannady,61528
2020-21,Orlando Magic,Dwayne Bacon,1678854
2021-22,Orlando Magic,Dwayne Bacon,1824003
2020-21,Orlando Magic,Gary Harris,19160714
2021-22,Orlando Magic,Gary Harris,20482143
2020-21,Orlando Magic,James Ennis,3300000
2020-21,Orlando Magic,Jeff Teague,1620564
2020-21,Orlando Magic,Jonathan Isaac,7362566
2021-22,Orlando Magic,Jonathan Isaac,17400000
2022-23,Orlando Magic,Jonathan Isaac,17400000
2023-24,Orlando Magic,Jonathan Isaac,17400000
2024-25,Orlando Magic,Jonathan Isaac,17400000
2020-21,Orlando Magic,Khem Birch,3000000
2020-21,Orlando Magic,Markelle Fultz,12288697
2021-22,Orlando Magic,Markelle Fultz,16500000
2022-23,Orlando Magic,Markelle Fultz,16500000
2023-24,Orlando Magic,Markelle Fultz,17000000
2020-21,Orlando Magic,Michael CarterWilliams,3300000
2021-22,Orlando Magic,Michael CarterWilliams,3300000
2020-21,Orlando Magic,Mo Bamba,5969040
2021-22,Orlando Magic,Mo Bamba,7568743
2022-23,Orlando Magic,Mo Bamba,10096703
2020-21,Orlando Magic,Otto Porter,28489239
2020-21,Orlando Magic,RJ Hampton,2193480
2021-22,Orlando Magic,RJ Hampton,2303040
2022-23,Orlando Magic,RJ Hampton,2412840
2023-24,Orlando Magic,RJ Hampton,4220057
2024-25,Orlando Magic,RJ Hampton,6169723
2020-21,Orlando Magic,Terrence Ross,13500000
2021-22,Orlando Magic,Terrence Ross,12500000
2022-23,Orlando Magic,Terrence Ross,11500000
2020-21,Orlando Magic,Wendell Carter Jr,5448840
2021-22,Orlando Magic,Wendell Carter Jr,6920027
2022-23,Orlando Magic,Wendell Carter Jr,9279756
2020-21,Philadelphia 76ers,Ben Simmons,30559200
2021-22,Philadelphia 76ers,Ben Simmons,33003936
2022-23,Philadelphia 76ers,Ben Simmons,35448672
2023-24,Philadelphia 76ers,Ben Simmons,37893408
2024-25,Philadelphia 76ers,Ben Simmons,40338144
2020-21,Philadelphia 76ers,Danny Green,15365853
2020-21,Philadelphia 76ers,Dwight Howard,1620564
2020-21,Philadelphia 76ers,Furkan Korkmaz,1762796
2020-21,Philadelphia 76ers,George Hill,9590602
2021-22,Philadelphia 76ers,George Hill,10047297
2020-21,Philadelphia 76ers,Ignas Brazdelkis,1517981
2021-22,Philadelphia 76ers,Ignas Brazdelkis,1782621
2022-23,Philadelphia 76ers,Ignas Brazdelkis,2228276
2020-21,Philadelphia 76ers,Isaiah Joe,898310
2021-22,Philadelphia 76ers,Isaiah Joe,1517981
2022-23,Philadelphia 76ers,Isaiah Joe,1782621
2023-24,Philadelphia 76ers,Isaiah Joe,2228276
2020-21,Philadelphia 76ers,Joel Embiid,29542010
2021-22,Philadelphia 76ers,Joel Embiid,31579390
2022-23,Philadelphia 76ers,Joel Embiid,33616770
2020-21,Philadelphia 76ers,Justin Anderson,125000
2020-21,Philadelphia 76ers,Matisse Thybulle,2711280
2021-22,Philadelphia 76ers,Matisse Thybulle,2840160
2022-23,Philadelphia 76ers,Matisse Thybulle,4379527
2023-24,Philadelphia 76ers,Matisse Thybulle,6275862
2020-21,Philadelphia 76ers,Mike Scott,5005350
2020-21,Philadelphia 76ers,Paul Reed Jr,609128
2021-22,Philadelphia 76ers,Paul Reed Jr,1517981
2022-23,Philadelphia 76ers,Paul Reed Jr,1782621
2023-24,Philadelphia 76ers,Paul Reed Jr,2228276
2020-21,Philadelphia 76ers,Seth Curry,7834449
2021-22,Philadelphia 76ers,Seth Curry,8207518
2022-23,Philadelphia 76ers,Seth Curry,8496653
2020-21,Philadelphia 76ers,Shake Milton,1701593
2021-22,Philadelphia 76ers,Shake Milton,1846738
2022-23,Philadelphia 76ers,Shake Milton,1997718
2020-21,Philadelphia 76ers,Tobias Harris,34358850
2021-22,Philadelphia 76ers,Tobias Harris,35995950
2022-23,Philadelphia 76ers,Tobias Harris,37633050
2023-24,Philadelphia 76ers,Tobias Harris,39270150
2020-21,Philadelphia 76ers,Tyrese Maxey,2478840
2021-22,Philadelphia 76ers,Tyrese Maxey,2602920
2022-23,Philadelphia 76ers,Tyrese Maxey,2726880
2023-24,Philadelphia 76ers,Tyrese Maxey,4343920
2024-25,Philadelphia 76ers,Tyrese Maxey,6259589
2020-21,Phoenix Suns,Abdel Nader,1752950
2020-21,Phoenix Suns,Cameron Johnson,4235160
2021-22,Phoenix Suns,Cameron Johnson,4437000
2022-23,Phoenix Suns,Cameron Johnson,5887899
2023-24,Phoenix Suns,Cameron Johnson,8060534
2020-21,Phoenix Suns,Cameron Payne,1977011
2020-21,Phoenix Suns,Chris Paul,41358814
2021-22,Phoenix Suns,Chris Paul,44211146
2020-21,Phoenix Suns,Damian Jones,785285
2020-21,Phoenix Suns,Dario Saric,9250000
2021-22,Phoenix Suns,Dario Saric,8510000
2022-23,Phoenix Suns,Dario Saric,9240000
2020-21,Phoenix Suns,Deandre Ayton,10018200
2021-22,Phoenix Suns,Deandre Ayton,12632950
2022-23,Phoenix Suns,Deandre Ayton,16422835
2020-21,Phoenix Suns,Devin Booker,29467800
2021-22,Phoenix Suns,Devin Booker,31650600
2022-23,Phoenix Suns,Devin Booker,33833400
2023-24,Phoenix Suns,Devin Booker,36016200
2020-21,Phoenix Suns,E'Twaun Moore,1620564
2020-21,Phoenix Suns,Frank Kaminsky,1620564
2020-21,Phoenix Suns,Jae Crowder,9258000
2021-22,Phoenix Suns,Jae Crowder,9720900
2022-23,Phoenix Suns,Jae Crowder,10183800
2020-21,Phoenix Suns,Jalen Smith,4245720
2021-22,Phoenix Suns,Jalen Smith,4458000
2022-23,Phoenix Suns,Jalen Smith,4670160
2023-24,Phoenix Suns,Jalen Smith,5954454
2024-25,Phoenix Suns,Jalen Smith,8109966
2020-21,Phoenix Suns,Jevon Carter,3925000
2021-22,Phoenix Suns,Jevon Carter,3650000
2022-23,Phoenix Suns,Jevon Carter,3925000
2020-21,Phoenix Suns,Langston Galloway,1620564
2020-21,Phoenix Suns,Mikal Bridges,4359000
2021-22,Phoenix Suns,Mikal Bridges,5557725
2022-23,Phoenix Suns,Mikal Bridges,7569621
2020-21,Phoenix Suns,Torrey Craig,1620564
2020-21,Portland Trail Blazers,Anderson Varejao,1913345
2020-21,Portland Trail Blazers,Andrew Nicholson,2844430
2021-22,Portland Trail Blazers,Andrew Nicholson,2844429
2022-23,Portland Trail Blazers,Andrew Nicholson,2844429
2023-24,Portland Trail Blazers,Andrew Nicholson,2844429
2020-21,Portland Trail Blazers,Anfernee Simons,2252040
2021-22,Portland Trail Blazers,Anfernee Simons,3938818
2022-23,Portland Trail Blazers,Anfernee Simons,5758552
2020-21,Portland Trail Blazers,Carmelo Anthony,1620564
2020-21,Portland Trail Blazers,CJ Elleby,898310
2021-22,Portland Trail Blazers,CJ Elleby,1517981
2022-23,Portland Trail Blazers,CJ Elleby,1919247
2020-21,Portland Trail Blazers,CJ McCollum,29354152
2021-22,Portland Trail Blazers,CJ McCollum,30864198
2022-23,Portland Trail Blazers,CJ McCollum,33333333
2023-24,Portland Trail Blazers,CJ McCollum,35802469
2020-21,Portland Trail Blazers,Damian Lillard,31626953
2021-22,Portland Trail Blazers,Damian Lillard,39344900
2022-23,Portland Trail Blazers,Damian Lillard,42492492
2023-24,Portland Trail Blazers,Damian Lillard,45640084
2024-25,Portland Trail Blazers,Damian Lillard,48787676
2020-21,Portland Trail Blazers,Derrick Jones,9258000
2021-22,Portland Trail Blazers,Derrick Jones,9720900
2020-21,Portland Trail Blazers,Enes Kanter,5005350
2020-21,Portland Trail Blazers,Harry Giles,1620564
2020-21,Portland Trail Blazers,Jusuf Nurkic,12888889
2021-22,Portland Trail Blazers,Jusuf Nurkic,12000000
2020-21,Portland Trail Blazers,Nassir Little,2210640
2021-22,Portland Trail Blazers,Nassir Little,2316240
2022-23,Portland Trail Blazers,Nassir Little,4171548
2023-24,Portland Trail Blazers,Nassir Little,6128004
2020-21,Portland Trail Blazers,Norman Powell,10865952
2021-22,Portland Trail Blazers,Norman Powell,11615328
2020-21,Portland Trail Blazers,Robert Covington,12138345
2021-22,Portland Trail Blazers,Robert Covington,12975471
2020-21,Portland Trail Blazers,Zach Collins,5406255
2021-22,Portland Trail Blazers,Zach Collins,7363319
2020-21,Sacramento Kings,Buddy Hield,24701834
2021-22,Sacramento Kings,Buddy Hield,22768890
2022-23,Sacramento Kings,Buddy Hield,20835947
2023-24,Sacramento Kings,Buddy Hield,18903003
2020-21,Sacramento Kings,Chimezie Metu,50000
2020-21,Sacramento Kings,Chris Silva,1517981
2021-22,Sacramento Kings,Chris Silva,1782621
2022-23,Sacramento Kings,Chris Silva,2228276
2020-21,Sacramento Kings,De'Aaron Fox,8099627
2021-22,Sacramento Kings,De'Aaron Fox,28103500
2022-23,Sacramento Kings,De'Aaron Fox,30351780
2023-24,Sacramento Kings,De'Aaron Fox,32600060
2024-25,Sacramento Kings,De'Aaron Fox,34848340
2020-21,Sacramento Kings,Delon Wright,9000000
2021-22,Sacramento Kings,Delon Wright,8526316
2020-21,Sacramento Kings,Glenn Robinson III,930930
2020-21,Sacramento Kings,Harrison Barnes,22215909
2021-22,Sacramento Kings,Harrison Barnes,20284091
2022-23,Sacramento Kings,Harrison Barnes,18352273
2020-21,Sacramento Kings,Hassan Whiteside,1620564
2020-21,Sacramento Kings,Jabari Parker,6500000
2020-21,Sacramento Kings,Jahmi'us Ramsey,1000000
2021-22,Sacramento Kings,Jahmi'us Ramsey,1517981
2022-23,Sacramento Kings,Jahmi'us Ramsey,1782621
2023-24,Sacramento Kings,Jahmi'us Ramsey,2228276
2020-21,Sacramento Kings,Justin James,1517981
2021-22,Sacramento Kings,Justin James,1782621
2022-23,Sacramento Kings,Justin James,2228276
2020-21,Sacramento Kings,Marvin Bagley III,8963640
2021-22,Sacramento Kings,Marvin Bagley III,11312114
2022-23,Sacramento Kings,Marvin Bagley III,14762309
2020-21,Sacramento Kings,Maurice Harkless,3623000
2020-21,Sacramento Kings,Mfiondu Kabengele,2075880
2020-21,Sacramento Kings,Norvel Pelle,99020
2020-21,Sacramento Kings,Richaun Holmes,5005350
2020-21,Sacramento Kings,Robert Woodard II,1500000
2021-22,Sacramento Kings,Robert Woodard II,1517981
2022-23,Sacramento Kings,Robert Woodard II,1782621
2023-24,Sacramento Kings,Robert Woodard II,1930631
2020-21,Sacramento Kings,Terence Davis,1517981
2021-22,Sacramento Kings,Terence Davis,1897476
2020-21,Sacramento Kings,Tyrese Haliburton,3831840
2021-22,Sacramento Kings,Tyrese Haliburton,4023600
2022-23,Sacramento Kings,Tyrese Haliburton,4215120
2023-24,Sacramento Kings,Tyrese Haliburton,5808435
2024-25,Sacramento Kings,Tyrese Haliburton,7992407
2020-21,San Antonio Spurs,Cameron Reynolds,110998
2020-21,San Antonio Spurs,Dejounte Murray,14286000
2021-22,San Antonio Spurs,Dejounte Murray,15428880
2022-23,San Antonio Spurs,Dejounte Murray,16571120
2023-24,San Antonio Spurs,Dejounte Murray,17714000
2020-21,San Antonio Spurs,DeMar DeRozan,27739975
2020-21,San Antonio Spurs,DeMarre Carroll,6119676
2021-22,San Antonio Spurs,DeMarre Carroll,1242340
2020-21,San Antonio Spurs,Derrick White,3516284
2021-22,San Antonio Spurs,Derrick White,15678571
2022-23,San Antonio Spurs,Derrick White,16892857
2023-24,San Antonio Spurs,Derrick White,18107143
2024-25,San Antonio Spurs,Derrick White,19321429
2020-21,San Antonio Spurs,Devin Vassell,4033440
2021-22,San Antonio Spurs,Devin Vassell,4235160
2022-23,San Antonio Spurs,Devin Vassell,4437000
2023-24,San Antonio Spurs,Devin Vassell,5887899
2024-25,San Antonio Spurs,Devin Vassell,8060534
2020-21,San Antonio Spurs,Drew Eubanks,1620564
2021-22,San Antonio Spurs,Drew Eubanks,1762796
2022-23,San Antonio Spurs,Drew Eubanks,1910860
2020-21,San Antonio Spurs,Gorgui Dieng,1000000
2020-21,San Antonio Spurs,Jakob Poeltl,8101852
2021-22,San Antonio Spurs,Jakob Poeltl,8750000
2022-23,San Antonio Spurs,Jakob Poeltl,9398148
2020-21,San Antonio Spurs,Keldon Johnson,2048040
2021-22,San Antonio Spurs,Keldon Johnson,2145720
2022-23,San Antonio Spurs,Keldon Johnson,3873025
2023-24,San Antonio Spurs,Keldon Johnson,5809538
2020-21,San Antonio Spurs,LaMarcus Aldridge,16750000
