game_id,season_id,team_id_home,game_date,matchup_home,wl_home,pts_home,team_id_away,wl_away,pts_away,game_status_text,season,attendance,series_leader
21500048,22015,1610612752,11/2/2015,NYK vs. SAS,L,84,1610612759,W,94,Final,2015,19812.0,San Antonio
21500047,22015,1610612751,11/2/2015,BKN vs. MIL,L,96,1610612749,W,103,Final,2015,12576.0,Milwaukee
21500052,22015,1610612746,11/2/2015,LAC vs. PHX,W,102,1610612756,L,96,Final,2015,19060.0,Tied
21500049,22015,1610612745,11/2/2015,HOU vs. OKC,W,110,1610612760,L,105,Final,2015,17224.0,Tied
21500050,22015,1610612750,11/2/2015,MIN vs. POR,L,101,1610612757,W,106,Final,2015,18903.0,Portland
21500059,22015,1610612747,11/3/2015,LAL vs. DEN,L,109,1610612743,W,120,Final,2015,18997.0,Denver
21500055,22015,1610612748,11/3/2015,MIA vs. ATL,L,92,1610612737,W,98,Final,2015,19600.0,Miami
21500054,22015,1610612765,11/3/2015,DET vs. IND,L,82,1610612754,W,94,Final,2015,13325.0,Indiana
21500057,22015,1610612742,11/3/2015,DAL vs. TOR,L,91,1610612761,W,102,Final,2015,20034.0,Toronto
21500058,22015,1610612758,11/3/2015,SAC vs. MEM,L,89,1610612763,W,103,Final,2015,17317.0,Memphis
21500053,22015,1610612766,11/3/2015,CHA vs. CHI,W,130,1610612741,L,105,Final,2015,15136.0,Charlotte
21500056,22015,1610612740,11/3/2015,NOP vs. ORL,L,94,1610612753,W,103,Final,2015,16876.0,Orlando
21500069,22015,1610612744,11/4/2015,GSW vs. LAC,W,112,1610612746,L,108,Final,2015,19596.0,Golden State
21500067,22015,1610612756,11/4/2015,PHX vs. SAC,W,118,1610612758,L,97,Final,2015,16497.0,Sacramento
21500063,22015,1610612739,11/4/2015,CLE vs. NYK,W,96,1610612752,L,86,Final,2015,20562.0,Cleveland
21500064,22015,1610612745,11/4/2015,HOU vs. ORL,W,119,1610612753,L,114,Final,2015,16735.0,Tied
21500068,22015,1610612762,11/4/2015,UTA vs. POR,L,92,1610612757,W,108,Final,2015,19911.0,Portland
21500065,22015,1610612749,11/4/2015,MIL vs. PHI,W,91,1610612755,L,87,Final,2015,12437.0,Milwaukee
21500060,22015,1610612754,11/4/2015,IND vs. BOS,W,100,1610612738,L,98,Final,2015,14022.0,Indiana
21500062,22015,1610612737,11/4/2015,ATL vs. BKN,W,101,1610612751,L,87,Final,2015,14044.0,Atlanta
21500061,22015,1610612764,11/4/2015,WAS vs. SAS,W,102,1610612759,L,99,Final,2015,17721.0,Tied
21500066,22015,1610612760,11/4/2015,OKC vs. TOR,L,98,1610612761,W,103,Final,2015,18203.0,Tied
21500070,22015,1610612741,11/5/2015,CHI vs. OKC,W,104,1610612760,L,98,Final,2015,21861.0,Chicago
21500074,22015,1610612757,11/5/2015,POR vs. MEM,W,115,1610612763,L,96,Final,2015,19393.0,Tied
21500072,22015,1610612742,11/5/2015,DAL vs. CHA,L,94,1610612766,W,108,Final,2015,19635.0,Tied
21500073,22015,1610612743,11/5/2015,DEN vs. UTA,L,84,1610612762,W,96,Final,2015,9906.0,Utah
21500071,22015,1610612750,11/5/2015,MIN vs. MIA,L,84,1610612748,W,96,Final,2015,11794.0,Tied
21500083,22015,1610612744,11/6/2015,GSW vs. DEN,W,119,1610612743,L,104,Final,2015,19596.0,Golden State
21500079,22015,1610612752,11/6/2015,NYK vs. MIL,L,92,1610612749,W,99,Final,2015,19812.0,Tied
21500082,22015,1610612756,11/6/2015,PHX vs. DET,L,92,1610612765,W,100,Final,2015,16676.0,Detroit
21500077,22015,1610612751,11/6/2015,BKN vs. LAL,L,98,1610612747,W,104,Final,2015,17732.0,L.A. Lakers
21500076,22015,1610612738,11/6/2015,BOS vs. WAS,W,118,1610612764,L,98,Final,2015,18624.0,Boston
21500075,22015,1610612753,11/6/2015,ORL vs. TOR,W,92,1610612761,L,87,Final,2015,16578.0,Toronto
21500078,22015,1610612739,11/6/2015,CLE vs. PHI,W,108,1610612755,L,102,Final,2015,20562.0,Cleveland
21500080,22015,1610612754,11/6/2015,IND vs. MIA,W,90,1610612748,L,87,Final,2015,16914.0,Tied
21500084,22015,1610612758,11/6/2015,SAC vs. HOU,L,110,1610612745,W,116,Final,2015,16983.0,Houston
21500081,22015,1610612740,11/6/2015,NOP vs. ATL,L,115,1610612737,W,121,Final,2015,16983.0,Atlanta
21500087,22015,1610612755,11/7/2015,PHI vs. ORL,L,97,1610612753,W,105,Final,2015,15207.0,Orlando
21500090,22015,1610612759,11/7/2015,SAS vs. CHA,W,114,1610612766,L,94,Final,2015,18418.0,Tied
21500085,22015,1610612741,11/7/2015,CHI vs. MIN,L,93,1610612750,W,102,Final,2015,21988.0,Minnesota
21500093,22015,1610612746,11/7/2015,LAC vs. HOU,L,105,1610612745,W,109,Final,2015,19361.0,Tied
21500091,22015,1610612762,11/7/2015,UTA vs. MEM,W,89,1610612763,L,79,Final,2015,19456.0,Utah
21500089,22015,1610612749,11/7/2015,MIL vs. BKN,W,94,1610612751,L,86,Final,2015,15228.0,Milwaukee
21500088,22015,1610612742,11/7/2015,DAL vs. NOP,W,107,1610612740,L,98,Final,2015,20454.0,Tied
21500086,22015,1610612737,11/7/2015,ATL vs. WAS,W,114,1610612764,L,99,Final,2015,18047.0,Tied
21500092,22015,1610612758,11/7/2015,SAC vs. GSW,L,94,1610612744,W,103,Final,2015,17317.0,Golden State
21500095,22015,1610612752,11/8/2015,NYK vs. LAL,W,99,1610612747,L,95,Final,2015,19812.0,New York
21500094,22015,1610612739,11/8/2015,CLE vs. IND,W,101,1610612754,L,97,Final,2015,20562.0,Cleveland
21500096,22015,1610612748,11/8/2015,MIA vs. TOR,W,96,1610612761,L,76,Final,2015,19600.0,Toronto
21500098,22015,1610612757,11/8/2015,POR vs. DET,L,103,1610612765,W,120,Final,2015,19393.0,Detroit
21500097,22015,1610612760,11/8/2015,OKC vs. PHX,W,124,1610612756,L,103,Final,2015,18203.0,Oklahoma City
21500100,22015,1610612755,11/9/2015,PHI vs. CHI,L,88,1610612741,W,111,Final,2015,13879.0,Chicago
21500104,22015,1610612744,11/9/2015,GSW vs. DET,W,109,1610612765,L,95,Final,2015,19596.0,Tied
21500105,22015,1610612746,11/9/2015,LAC vs. MEM,W,94,1610612763,L,92,Final,2015,19060.0,LA Clippers
