yearcombine,idplayer,namefirst,namelast,nameplayer,slugposition,heightwoshoesinches,heightwoshoes,weightlbs,wingspaninches,wingspan,reachstandinginches,reachstandingo,verticalleapstandinginches,verticalleapmaxinches,timelaneagility,timethreequartercourtsprint,repsbenchpress135
2019,1629004,Sviatoslav,Mykhailiuk,Sviatoslav Mykhailiuk,SG-SF,78.5,6' 6.5'',211.6,76.75,6' 4.75'',100.0,8' 4'',30.5,37.0,11.25,3.15,4.0
2019,1629005,Malik,Newman,Malik Newman,SG,74.5,6' 2.5'',189.2,77.5,6' 5.5'',98.5,8' 2.5'',27.5,33.5,10.9,3.13,
2019,1629006,Josh,Okogie,Josh Okogie,SG,75.0,6' 3'',210.8,84.0,7' 0'',102.0,8' 6'',33.0,42.0,11.08,3.04,12.0
2019,1629033,Theo,Pinson,Theo Pinson,SG-SF,77.0,6' 5'',211.2,82.75,6' 10.75'',103.5,8' 7.5'',27.0,34.0,11.53,3.22,7.0
2019,1629007,Jontay,Porter,Jontay Porter,C-PF,82.0,6' 10'',236.0,84.25,7' 0.25'',109.0,9' 1'',25.5,31.0,11.9,3.4,9.0
2019,1629008,Michael,Porter,Michael Porter,SF-PF,81.5,6' 9.5'',211.0,84.25,7' 0.25'',108.5,9' 0.5'',,,,,
2019,1629009,Billy,Preston,Billy Preston,PF,80.75,6' 8.75'',222.4,86.0,7' 2'',108.0,9' 0'',25.0,33.0,11.26,3.2,0.0
2019,1629010,Jerome,Robinson,Jerome Robinson,SG,76.0,6' 4'',188.4,79.25,6' 7.25'',98.0,8' 2'',,,,,
2019,1629012,Collin,Sexton,Collin Sexton,PG,72.5,6' 0.5'',183.0,79.25,6' 7.25'',98.5,8' 2.5'',,,,,
2019,1629013,Landry,Shamet,Landry Shamet,PG,76.0,6' 4'',188.6,78.75,6' 6.75'',100.0,8' 4'',31.0,39.5,11.26,3.11,8.0
2019,1629014,Anfernee,Simons,Anfernee Simons,SG-PG,74.25,6' 2.25'',183.2,81.25,6' 9.25'',99.5,8' 3.5'',32.0,41.5,11.27,3.1,1.0
2019,1629015,Zhaire,Smith,Zhaire Smith,SF-SG,74.75,6' 2.75'',198.6,81.75,6' 9.75'',100.0,8' 4'',33.0,41.5,11.02,3.05,10.0
2019,1629034,Ray,Spalding,Ray Spalding,PF,81.0,6' 9'',215.4,88.75,7' 4.75'',109.0,9' 1'',26.0,32.0,11.48,3.34,12.0
2019,1629016,Omari,Spellman,Omari Spellman,PF-C,80.0,6' 8'',253.8,86.0,7' 2'',107.5,8' 11.5'',28.5,35.5,12.28,3.38,8.0
2019,1629017,Khyri,Thomas,Khyri Thomas,SG,74.5,6' 2.5'',198.8,82.5,6' 10.5'',101.0,8' 5'',30.0,35.0,10.96,3.18,14.0
2019,1629018,Gary,Trent,Gary Trent,SG,76.25,6' 4.25'',204.2,80.75,6' 8.75'',98.0,8' 2'',33.5,39.5,11.37,3.12,12.0
2019,1629019,Allonzo,Trier,Allonzo Trier,SG,75.75,6' 3.75'',198.0,78.75,6' 6.75'',98.0,8' 2'',32.0,40.0,11.02,3.14,11.0
2019,1629021,Moritz,Wagner,Moritz Wagner,C-PF,82.5,6' 10.5'',241.4,84.0,7' 0'',108.0,9' 0'',27.0,34.0,11.48,3.18,8.0
2019,1629022,Lonnie,Walker,Lonnie Walker,SG,75.75,6' 3.75'',196.2,82.25,6' 10.25'',99.5,8' 3.5'',31.5,40.0,10.87,3.06,12.0
2019,1629023,PJ,Washington,PJ Washington,PF,78.5,6' 6.5'',223.0,86.5,7' 2.5'',107.0,8' 11'',27.0,34.0,11.39,3.2,3.0
2019,1629024,Austin,Wiley,Austin Wiley,C,80.25,6' 8.25'',249.4,89.0,7' 5'',111.0,9' 3'',28.0,33.5,12.79,3.3,14.0
2019,1629025,Kris,Wilkes,Kris Wilkes,SF,78.5,6' 6.5'',205.0,82.25,6' 10.25'',103.5,8' 7.5'',28.0,35.5,11.29,3.24,1.0
2019,1629026,Kenrich,Williams,Kenrich Williams,SF,78.0,6' 6'',200.4,79.25,6' 7.25'',103.5,8' 7.5'',28.0,33.0,10.86,3.19,14.0
2019,1629027,Trae,Young,Trae Young,PG,72.5,6' 0.5'',177.8,75.0,6' 3'',95.5,7' 11.5'',,,,,
2020,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,SG,76.25,6' 4.25'',203.8,81.5,6' 9.5'',102.0,8' 6'',,,,,
2020,1629628,RJ,Barrett,RJ Barrett,SF,,,,,,,,,,,,
2020,1629646,Charles,Bassey,Charles Bassey,C,80.75,6' 8.75'',239.0,87.5,7' 3.5'',109.5,9' 1.5'',29.0,33.0,12.65,3.53,7.0
2020,1629647,Darius,Bazley,Darius Bazley,PF,79.75,6' 7.75'',208.4,84.0,7' 0'',107.0,8' 11'',30.5,37.0,11.09,3.27,4.0
2020,1629626,Bol,Bol,Bol Bol,C,84.75,7' 0.75'',208.0,91.0,7' 7'',115.5,9' 7.5'',,,,,
2020,1629648,Jordan,Bone,Jordan Bone,SG,73.5,6' 1.5'',179.0,75.25,6' 3.25'',95.0,7' 11'',36.0,42.5,9.97,3.08,7.0
2020,1628968,Brian,Bowen II,Brian Bowen II,SF,78.25,6' 6.25'',200.0,82.0,6' 10'',103.0,8' 7'',32.0,35.5,10.98,3.26,1.0
2020,1629065,Ky,Bowman,Ky Bowman,PG,73.0,6' 1'',181.2,79.0,6' 7'',98.0,8' 2'',27.5,33.0,11.11,3.26,4.0
2020,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,SF,77.75,6' 5.75'',220.8,81.25,6' 9.25'',102.0,8' 6'',31.0,36.5,11.06,3.36,13.0
2020,1629052,O'Shae,Brissett,O'Shae Brissett,SF-PF,79.0,6' 7'',203.2,84.0,7' 0'',104.0,8' 8'',34.0,37.5,11.3,3.48,11.0
2020,1629650,Moses,Brown,Moses Brown,C,85.25,7' 1.25'',237.2,88.75,7' 4.75'',113.0,9' 5'',27.0,31.0,11.95,3.51,
2020,1629634,Brandon,Clarke,Brandon Clarke,SF,79.25,6' 7.25'',207.2,80.25,6' 8.25'',102.0,8' 6'',34.0,40.5,10.61,3.15,10.0
2020,1629651,Nicolas,Claxton,Nicolas Claxton,C,82.0,6' 10'',216.6,86.5,7' 2.5'',110.0,9' 2'',31.5,36.5,11.26,3.36,8.0
2020,1629076,Tyler,Cook,Tyler Cook,PF,79.25,6' 7.25'',245.4,84.5,7' 0.5'',106.5,8' 10.5'',27.5,32.0,11.32,3.28,11.0
2020,1629633,Jarrett,Culver,Jarrett Culver,SG,77.25,6' 5.25'',194.2,81.5,6' 9.5'',100.5,8' 4.5'',,,,,
2020,1629056,Terence,Davis,Terence Davis,SG,75.0,6' 3'',192.4,80.75,6' 8.75'',101.0,8' 5'',29.5,34.0,10.69,3.28,13.0
2020,1629652,Luguentz,Dort,Luguentz Dort,PG,74.75,6' 2.75'',222.2,80.5,6' 8.5'',99.5,8' 3.5'',32.5,38.0,10.79,3.22,14.0
2020,1629653,Devon,Dotson,Devon Dotson,PG,72.0,6' 0'',178.6,75.25,6' 3.25'',95.5,7' 11.5'',30.0,38.5,10.63,3.04,7.0
2020,1629654,Carsen,Edwards,Carsen Edwards,PG,70.75,5' 10.75'',199.4,78.0,6' 6'',94.5,7' 10.5'',28.5,34.0,10.53,3.22,14.0
2020,1629605,Tacko,Fall,Tacko Fall,C,89.25,7' 5.25'',288.8,98.25,8' 2.25'',122.5,10' 2.5'',22.0,26.5,13.01,3.78,8.0
2020,1628981,Bruno,Fernando,Bruno Fernando,C,80.75,6' 8.75'',237.0,87.25,7' 3.25'',110.0,9' 2'',29.5,33.5,11.29,3.21,13.0
2020,1629655,Daniel,Gafford,Daniel Gafford,PF,81.25,6' 9.25'',237.6,86.5,7' 2.25'',110.0,9' 2'',32.5,36.5,11.61,3.25,5.0
2020,1629636,Darius,Garland,Darius Garland,PG,,,,,,,,,,,,
2020,1629656,Quentin,Grimes,Quentin Grimes,SG,76.0,6' 4'',209.6,79.75,6' 7.75'',100.5,8' 4.5'',27.5,36.0,10.83,3.2,6.0
2020,1629657,Kyle,Guy,Kyle Guy,SG,72.75,6' 0.75'',167.8,76.5,6' 4.5'',95.5,7' 11.5'',30.5,36.5,10.48,3.27,4.0
2020,1628986,Jaylen,Hands,Jaylen Hands,PG,73.5,6' 1.5'',180.4,77.5,6' 5.5'',97.0,8' 1'',33.0,41.5,10.73,3.12,6.0
2020,1629607,Jared,Harper,Jared Harper,PG,69.75,5' 9.75'',169.2,77.5,6' 5.5'',94.0,7' 10'',33.5,40.5,10.77,3.04,8.0
2020,1629637,Jaxson,Hayes,Jaxson Hayes,PF,82.25,6' 10.25'',218.6,87.5,7' 3.5'',110.5,9' 2.5'',27.0,34.5,11.74,3.37,5.0
2020,1629608,Dewan,Hernandez,Dewan Hernandez,C,81.0,6' 9'',232.8,85.75,7' 1.75'',107.0,8' 11'',30.5,35.5,11.46,3.28,13.0
2020,1629639,Tyler,Herro,Tyler Herro,SG,76.5,6' 4.5'',192.4,75.25,6' 3.25'',100.5,8' 4.5'',,,,,
2020,1629658,Jalen,Hoard,Jalen Hoard,PF,79.25,6' 7.25'',212.6,84.75,7' 0.75'',105.5,8' 9.5'',27.5,35.5,11.44,3.34,8.0
2020,1629659,Talen,Horton-Tucker,Talen Horton-Tucker,SG,74.5,6' 2.5'',235.4,85.25,7' 1.25'',103.0,8' 7'',26.0,34.5,11.34,3.34,10.0
2020,1629631,De'Andre,Hunter,De'Andre Hunter,,,,,,,,,,,,,
2020,1629610,DaQuan,Jeffries,DaQuan Jeffries,SF-PF,76.0,6' 4'',215.6,83.25,6' 11.25'',104.0,8' 8'',,,,,
2020,1629660,Ty,Jerome,Ty Jerome,PG,76.25,6' 4.25'',194.4,76.0,6' 4'',98.0,8' 2'',26.0,31.5,11.21,3.4,2.0
2020,1629640,Keldon,Johnson,Keldon Johnson,SG,76.75,6' 4.75'',216.4,81.25,6' 9.25'',104.0,8' 8'',,,,,
2020,1629661,Cameron,Johnson,Cameron Johnson,SG,79.0,6' 7'',205.2,82.0,6' 10'',103.0,8' 7'',30.5,36.5,10.52,3.26,
2020,1629662,Mfiondu,Kabengele,Mfiondu Kabengele,PF,80.75,6' 8.75'',256.2,87.0,7' 3'',109.5,9' 1.5'',28.0,35.5,11.21,3.25,6.0
2020,1629663,Louis,King,Louis King,SF,78.75,6' 6.75'',195.2,84.25,7' 0.25'',104.5,8' 8.5'',29.0,33.0,10.99,3.28,0.0
2020,1629641,Romeo,Langford,Romeo Langford,SG,76.5,6' 4.5'',,83.0,6' 11'',103.0,8' 7'',,,,,
2020,1629664,Dedric,Lawson,Dedric Lawson,PF,79.0,6' 7'',233.0,86.25,7' 2.25'',107.5,8' 11.5'',23.5,26.0,11.8,3.6,10.0
2020,1629665,Jalen,Lecque,Jalen Lecque,PG,74.5,6' 2.5'',185.2,80.5,6' 8.5'',98.5,8' 2.5'',35.0,43.0,11.09,3.29,1.0
