official_id,first_name,last_name,game_id
1154,Bob,Delaney,29800387
1158,Hugh,Evans,29800466
1159,Kevin,Fehr,29800466
1203,Mark,Wunderlich,29800466
1825,Mike,Mathis,29800506
1203,Mark,Wunderlich,29800506
1189,Phil,Robinson,29800506
1202,Tommie,Wood,29800717
1825,Mike,Mathis,29800717
1174,Ken,Mauer,29800717
1200,Greg,Willard,29900157
1181,Tommy,Nunez,29900157
1363,Bennie,Adams,29900157
1168,David,Jones,29900200
1662,Bill,Kennedy,29900200
1155,JB,DeRosa,29900200
1194,Bill,Spooner,29900226
1826,Jess,Kersey,29900226
1204,Derek,Richardson,29900226
1144,Ted,Bernhardt,29900315
1167,Steve,Javie,29900315
2001,Jason,Phillips,29900315
1828,Hank,Armstrong,29900468
1188,Leroy,Richardson,29900468
1167,Steve,Javie,29900468
1172,Jim,Kinsey,29900509
1828,Hank,Armstrong,29900509
1152,Dan,Crawford,29900509
1147,Mike,Callahan,29900514
1180,Jack,Nies,29900514
1179,Rodney,Mott,29900514
1202,Tommie,Wood,29900517
1825,Mike,Mathis,29900517
1190,Eddie,Rush,29900517
1165,Luis,Grillo,29900620
1160,Nolan,Fine,29900620
1198,Scott,Wall,29900620
1150,Jimmy,Clark,29900721
1151,Sean,Corbin,29900721
1192,Bennett,Salvatore,29900721
1148,James,Capers,29900977
1188,Leroy,Richardson,29900977
1190,Eddie,Rush,29900977
1198,Scott,Wall,29901018
1163,Bernie,Fryer,29901018
1160,Nolan,Fine,29901018
1151,Sean,Corbin,29901052
1164,Ron,Garretson,29901052
1144,Ted,Bernhardt,29901052
1167,Steve,Javie,29901048
1176,Monty,McCutchen,29901048
1156,Tim,Donaghy,29901048
1152,Dan,Crawford,29901138
1147,Mike,Callahan,29901138
1179,Rodney,Mott,29901138
1828,Hank,Armstrong,29901146
1195,Derrick,Stafford,29901146
1180,Jack,Nies,29901146
1180,Jack,Nies,29901186
1179,Rodney,Mott,29901186
1195,Derrick,Stafford,29901186
1181,Tommy,Nunez,20000020
1180,Jack,Nies,20000020
1185,Violet,Palmer,20000020
1142,Dick,Bavetta,20000023
1151,Sean,Corbin,20000023
1193,Michael,Smith,20000023
1157,Terry,Durham,20000057
1830,Marc,Davis,20000057
1199,Tom,Washington,20000057
1144,Ted,Bernhardt,20000090
1158,Hugh,Evans,20000090
1201,Leon,Wood,20000090
1180,Jack,Nies,20000089
1181,Tommy,Nunez,20000089
1185,Violet,Palmer,20000089
1662,Bill,Kennedy,20000136
1161,Joe,Forte,20000136
1186,Blane,Reichelt,20000136
1179,Rodney,Mott,20000146
1194,Bill,Spooner,20000146
1165,Luis,Grillo,20000146
1148,James,Capers,20000149
1144,Ted,Bernhardt,20000149
1156,Tim,Donaghy,20000149
1165,Luis,Grillo,20000256
1662,Bill,Kennedy,20000256
1186,Blane,Reichelt,20000256
1184,Ron,Olesiak,20000265
1188,Leroy,Richardson,20000265
1154,Bob,Delaney,20000265
1159,Kevin,Fehr,20000299
1155,JB,DeRosa,20000299
1142,Dick,Bavetta,20000299
1184,Ron,Olesiak,20000323
1830,Marc,Davis,20000323
1165,Luis,Grillo,20000323
1163,Bernie,Fryer,20000322
1148,James,Capers,20000322
1661,Rashan,Michel,20000322
1165,Luis,Grillo,20000348
1179,Rodney,Mott,20000348
1203,Mark,Wunderlich,20000348
1157,Terry,Durham,20000369
1181,Tommy,Nunez,20000369
1204,Derek,Richardson,20000369
1176,Monty,McCutchen,20000404
1186,Blane,Reichelt,20000404
1161,Joe,Forte,20000404
1164,Ron,Garretson,20000406
1148,James,Capers,20000406
1189,Phil,Robinson,20000406
1184,Ron,Olesiak,20000449
1363,Bennie,Adams,20000449
1167,Steve,Javie,20000449
1143,Gary,Benson,20000444
1190,Eddie,Rush,20000444
1199,Tom,Washington,20000444
1151,Sean,Corbin,20000460
1155,JB,DeRosa,20000460
1159,Kevin,Fehr,20000460
1166,Hue,Hollins,20000471
2004,Courtney,Kirkland,20000471
1192,Bennett,Salvatore,20000471
1172,Jim,Kinsey,20000492
1151,Sean,Corbin,20000492
1155,JB,DeRosa,20000492
1146,Tony,Brothers,20000534
